Ativo,Retorno_Acumulado_%,Volatilidade_Anual_%,Sharpe_Ratio,Max_Drawdown_%,Tipo
BBAS3.SA,434.87,38.24,0.32,-58.29,Carteira
ITUB4.SA,429.49,29.82,0.29,-44.34,Carteira
PETR4.SA,2222.9,43.6,0.81,-63.36,Carteira
VALE3.SA,1203.61,39.96,0.62,-43.72,Carteira
^BVSP,304.19,23.2,0.14,-46.82,Benchmark
