Date,Ativo,Retorno_Diario
2016-07-06,BBAS3.SA,-0.002352879774660366
2016-07-07,BBAS3.SA,-0.012382232030325402
2016-07-08,BBAS3.SA,0.02865716051192435
2016-07-11,BBAS3.SA,0.04585025787873476
2016-07-12,BBAS3.SA,-0.012763710875451029
2016-07-13,BBAS3.SA,0.014614873036420395
2016-07-14,BBAS3.SA,0.05318510320740377
2016-07-15,BBAS3.SA,0.013151253464409374
2016-07-18,BBAS3.SA,0.03634474962516254
2016-07-19,BBAS3.SA,0.04859751667324819
2016-07-20,BBAS3.SA,0.02006670705691027
2016-07-21,BBAS3.SA,-0.018735720914343168
2016-07-22,BBAS3.SA,-0.016228784670891838
2016-07-25,BBAS3.SA,0.03347902904279243
2016-07-26,BBAS3.SA,0.006572427276376525
2016-07-27,BBAS3.SA,0.0018660455467134351
2016-07-28,BBAS3.SA,-0.037709812030068846
2016-07-29,BBAS3.SA,0.018384442499297382
2016-08-01,BBAS3.SA,-0.017102118438202307
2016-08-02,BBAS3.SA,-0.023682884643945412
2016-08-03,BBAS3.SA,0.01584134594698483
2016-08-04,BBAS3.SA,0.02680299239371209
2016-08-05,BBAS3.SA,0.007119156495113188
2016-08-08,BBAS3.SA,-0.0023564196756562517
2016-08-09,BBAS3.SA,0.010864534593058917
2016-08-10,BBAS3.SA,-0.024766431015487034
2016-08-11,BBAS3.SA,0.056540759669040375
2016-08-12,BBAS3.SA,0.028118163839318866
2016-08-15,BBAS3.SA,0.022496537095767488
2016-08-16,BBAS3.SA,-0.023296114491663467
2016-08-17,BBAS3.SA,0.005300854992607462
2016-08-18,BBAS3.SA,-0.0013185044739888463
2016-08-19,BBAS3.SA,0.020677495391330014
2016-08-22,BBAS3.SA,-0.03836235374186292
2016-08-23,BBAS3.SA,0.018492387316110914
2016-08-24,BBAS3.SA,-0.010186024054294696
2016-08-25,BBAS3.SA,0.004026877624881298
2016-08-26,BBAS3.SA,0.020498344326254303
2016-08-29,BBAS3.SA,0.0401749331248058
2016-08-30,BBAS3.SA,-0.0037778405264969894
2016-08-31,BBAS3.SA,-0.021913675147245848
2016-09-01,BBAS3.SA,-0.015079644294299865
2016-09-02,BBAS3.SA,0.03762047141532743
2016-09-05,BBAS3.SA,-0.009696403101890128
2016-09-06,BBAS3.SA,0.02256309503966114
2016-09-08,BBAS3.SA,0.0045793947537011714
2016-09-09,BBAS3.SA,-0.05346072321410267
2016-09-12,BBAS3.SA,0.0048165370345043534
2016-09-13,BBAS3.SA,-0.03563694040294829
2016-09-14,BBAS3.SA,-0.0036349714661650934
2016-09-15,BBAS3.SA,0.0173281668940386
2016-09-16,BBAS3.SA,-0.017033015950932096
2016-09-19,BBAS3.SA,0.003648232687887498
2016-09-20,BBAS3.SA,0.027260334770221606
2016-09-21,BBAS3.SA,0.03228687023456578
2016-09-22,BBAS3.SA,0.004712335833203074
2016-09-23,BBAS3.SA,-0.02132131909851731
2016-09-26,BBAS3.SA,-0.011329042013001223
2016-09-27,BBAS3.SA,0.008373600252997493
2016-09-28,BBAS3.SA,0.018794168407417766
2016-09-29,BBAS3.SA,-0.02917271717578973
2016-09-30,BBAS3.SA,0.007512631030009542
2016-10-03,BBAS3.SA,0.023684130596510977
2016-10-04,BBAS3.SA,0.0025706856125098376
2016-10-05,BBAS3.SA,0.022649447190328686
2016-10-06,BBAS3.SA,0.03134153757248592
2016-10-07,BBAS3.SA,0.024311030729872618
2016-10-10,BBAS3.SA,0.006724402897613224
2016-10-11,BBAS3.SA,-0.02278948435311212
2016-10-13,BBAS3.SA,0.017289756845998205
2016-10-14,BBAS3.SA,0.026087372898702554
2016-10-17,BBAS3.SA,0.058551164674103706
2016-10-18,BBAS3.SA,0.020742816888898563
2016-10-19,BBAS3.SA,-0.01853887723823855
2016-10-20,BBAS3.SA,0.020705016130934117
2016-10-21,BBAS3.SA,0.012455624679883481
2016-10-24,BBAS3.SA,-0.00808473009481625
2016-10-25,BBAS3.SA,-0.023742126270971164
2016-10-26,BBAS3.SA,-0.007622482917856943
2016-10-27,BBAS3.SA,0.05120735630161688
2016-10-28,BBAS3.SA,-0.01565757032239934
2016-10-31,BBAS3.SA,0.035347854693959624
2016-11-01,BBAS3.SA,-0.04609068175536635
2016-11-03,BBAS3.SA,-0.04760158144201576
2016-11-04,BBAS3.SA,0.010146122481752062
2016-11-07,BBAS3.SA,0.05394333157185649
2016-11-08,BBAS3.SA,-0.0017648030434956885
2016-11-09,BBAS3.SA,-0.03536042313726617
2016-11-10,BBAS3.SA,-0.06414998100363767
2016-11-11,BBAS3.SA,-0.06933000052708838
2016-11-14,BBAS3.SA,0.02777799325662511
2016-11-16,BBAS3.SA,0.06470028955601537
2016-11-17,BBAS3.SA,-0.018461284551977153
2016-11-18,BBAS3.SA,0.029389192570441702
2016-11-21,BBAS3.SA,0.07841607291255115
2016-11-22,BBAS3.SA,0.01275269165625259
2016-11-23,BBAS3.SA,-0.004548920825663827
2016-11-24,BBAS3.SA,-0.026713519916379935
2016-11-25,BBAS3.SA,-0.0021668055306198752
2016-11-28,BBAS3.SA,0.045964096269278665
2016-11-29,BBAS3.SA,-0.03633137085903926
2016-11-30,BBAS3.SA,0.02333892168781193
2016-12-01,BBAS3.SA,-0.06596488831657188
2016-12-02,BBAS3.SA,0.020661292883291438
2016-12-05,BBAS3.SA,-0.019139170330231603
2016-12-06,BBAS3.SA,0.0011262171897610251
2016-12-07,BBAS3.SA,0.011993567780590908
2016-12-08,BBAS3.SA,-0.007407265590082424
2016-12-09,BBAS3.SA,0.008955317194642598
2016-12-12,BBAS3.SA,-0.04770742848885812
2016-12-13,BBAS3.SA,0.009229390091737955
2016-12-14,BBAS3.SA,-0.02431520795195785
2016-12-15,BBAS3.SA,0.038370308642205364
2016-12-16,BBAS3.SA,0.006475944041788306
2016-12-19,BBAS3.SA,-0.022331217297301365
2016-12-20,BBAS3.SA,0.01626004793063829
2016-12-21,BBAS3.SA,0.0
2016-12-22,BBAS3.SA,-0.009524080330844953
2016-12-23,BBAS3.SA,0.02846147242226027
2016-12-26,BBAS3.SA,0.01570683551172003
2016-12-27,BBAS3.SA,0.0069955524903633215
2016-12-28,BBAS3.SA,0.012431625184271988
