Date,Ativo,Retorno_Diario
2016-01-05,BBAS3.SA,0.0035106784933107704
2016-01-06,BBAS3.SA,0.0
2016-01-07,BBAS3.SA,-0.023792457594033145
2016-01-08,BBAS3.SA,0.0
2016-01-11,BBAS3.SA,-0.028673815184640405
2016-01-12,BBAS3.SA,-0.034686212136934125
2016-01-13,BBAS3.SA,-0.018349242905374985
2016-01-14,BBAS3.SA,0.05607528790352889
2016-01-15,BBAS3.SA,-0.038347895307125124
2016-01-18,BBAS3.SA,-0.006135406640418117
2016-01-19,BBAS3.SA,-0.009259505555285541
2016-01-20,BBAS3.SA,-0.009345412755730087
2016-01-21,BBAS3.SA,-0.0007857409061398091
2016-01-22,BBAS3.SA,0.022816404147089298
2016-01-26,BBAS3.SA,-0.008461847857370808
2016-01-27,BBAS3.SA,-0.014739958431323252
2016-01-28,BBAS3.SA,0.02204697496556296
2016-01-29,BBAS3.SA,0.06702675185381035
2016-02-01,BBAS3.SA,0.022382166723170283
2016-02-02,BBAS3.SA,-0.07485868477819657
2016-02-03,BBAS3.SA,0.012977358649401305
2016-02-04,BBAS3.SA,0.0399397977385183
2016-02-05,BBAS3.SA,-0.007971109599617998
2016-02-10,BBAS3.SA,0.0
2016-02-11,BBAS3.SA,-0.04601890423169508
2016-02-12,BBAS3.SA,-0.004594197847223813
2016-02-15,BBAS3.SA,0.010769132300829876
2016-02-16,BBAS3.SA,0.019786917619858402
2016-02-17,BBAS3.SA,-0.002985355473687057
2016-02-18,BBAS3.SA,-0.03667625744258962
2016-02-19,BBAS3.SA,0.010877911064108625
2016-02-22,BBAS3.SA,0.04611813023651101
2016-02-23,BBAS3.SA,-0.00661228100188449
2016-02-24,BBAS3.SA,-0.033284541912773635
2016-02-25,BBAS3.SA,0.0038256393373439224
2016-02-26,BBAS3.SA,0.006097654085983395
2016-02-29,BBAS3.SA,0.02575747103121162
2016-03-01,BBAS3.SA,0.057607187175036545
2016-03-02,BBAS3.SA,0.03142489284991812
2016-03-03,BBAS3.SA,0.1315149691034987
2016-03-04,BBAS3.SA,0.09873574358222248
2016-03-07,BBAS3.SA,0.0005483715507710318
2016-03-08,BBAS3.SA,0.1089806625931864
2016-03-09,BBAS3.SA,0.002468931511887762
2016-03-10,BBAS3.SA,0.05911363523897717
2016-03-11,BBAS3.SA,0.06279066837550595
2016-03-14,BBAS3.SA,-0.024249452547954187
2016-03-15,BBAS3.SA,-0.21171160516235543
2016-03-16,BBAS3.SA,0.03371460252003455
2016-03-17,BBAS3.SA,0.1437256291412503
2016-03-18,BBAS3.SA,-0.015950374846671722
2016-03-21,BBAS3.SA,0.01670009492907165
2016-03-22,BBAS3.SA,-0.01449289618221894
2016-03-23,BBAS3.SA,-0.03725485354821345
2016-03-24,BBAS3.SA,-0.03309586980060086
2016-03-28,BBAS3.SA,0.05845214274548538
2016-03-29,BBAS3.SA,0.02985068260674617
2016-03-30,BBAS3.SA,-0.020773116680222192
2016-03-31,BBAS3.SA,-0.02466697812797891
2016-04-01,BBAS3.SA,0.0
2016-04-04,BBAS3.SA,-0.056651552298247365
2016-04-05,BBAS3.SA,-0.016085569560463475
2016-04-06,BBAS3.SA,-0.009264240516339894
2016-04-07,BBAS3.SA,0.03080271304695703
2016-04-08,BBAS3.SA,0.11526161010556102
2016-04-11,BBAS3.SA,0.03062238412152407
2016-04-12,BBAS3.SA,0.025998078393167257
2016-04-13,BBAS3.SA,0.010406581047403218
2016-04-14,BBAS3.SA,-0.017912906832199815
2016-04-15,BBAS3.SA,0.035112188879596884
2016-04-18,BBAS3.SA,-0.027312835088223464
2016-04-19,BBAS3.SA,-0.004529434081619321
2016-04-20,BBAS3.SA,-0.00682404904194589
2016-04-22,BBAS3.SA,-0.02565263138947116
2016-04-25,BBAS3.SA,-0.022097182087599032
2016-04-26,BBAS3.SA,0.04567344992485012
2016-04-27,BBAS3.SA,0.025287108639767686
2016-04-28,BBAS3.SA,-0.024663441514753415
2016-04-29,BBAS3.SA,0.016551572470418607
2016-05-02,BBAS3.SA,-0.02532792894317515
2016-05-03,BBAS3.SA,-0.05150831372129727
2016-05-04,BBAS3.SA,0.021526618006975307
2016-05-05,BBAS3.SA,-0.01724156661758558
2016-05-06,BBAS3.SA,0.00828480561028111
2016-05-09,BBAS3.SA,-0.021266504618560944
2016-05-10,BBAS3.SA,0.05925941410489277
2016-05-11,BBAS3.SA,-0.04522151028364918
2016-05-12,BBAS3.SA,-0.02832029853235085
2016-05-13,BBAS3.SA,-0.027135482014497003
2016-05-16,BBAS3.SA,-0.01549592676414091
2016-05-17,BBAS3.SA,-0.04826885578464968
2016-05-18,BBAS3.SA,0.001102192461078344
2016-05-19,BBAS3.SA,-0.023677932669539548
2016-05-20,BBAS3.SA,-0.023689139878471654
2016-05-23,BBAS3.SA,-0.01790882700185792
2016-05-24,BBAS3.SA,-0.0525488922930154
2016-05-25,BBAS3.SA,0.02941146790420235
2016-05-27,BBAS3.SA,-0.0194530154323026
2016-05-30,BBAS3.SA,0.017359143517882814
